"Rank","District","Name","FTE.Students"
1,17001,"Seattle",51308
2,17414,"Lake Washington",29859
3,32081,"Spokane",27833
4,27010,"Tacoma",26693
5,17415,"Kent",24356
6,6114,"Evergreen (Clark)",23251
7,17417,"Northshore",22168
8,27003,"Puyallup",21330
9,6037,"Vancouver",21008
10,17210,"Federal Way",20242
11,31015,"Edmonds",19714
12,27403,"Bethel",19371
13,31002,"Everett",19280
14,17405,"Bellevue",19167
15,17411,"Issaquah",19034
16,3017,"Kennewick",17821
17,17401,"Highline",17775
18,11001,"Pasco",17663
19,17408,"Auburn",16076
20,39007,"Yakima",15533
21,31006,"Mukilteo",14850
22,17403,"Renton",14504
23,34003,"North Thurston",14075
24,32356,"Central Valley",13433
25,3400,"Richland",12884
26,27400,"Clover Park",11705
27,6119,"Battle Ground",11353
28,37501,"Bellingham",10877
29,18401,"Central Kitsap",10570
