X,Y,OBJECTID,SchoolCode,OrganizationId,SchoolName,Label,ESDCode,ESDNum,ESDName,LEACode,LEAName,LowestGrade,HighestGrade,LowGrade_Int,HighGrade_Int,OrgCategoryList,AYPCode,AYPCodeDescription,GradeCategory,PhysicalAddress,MailingAddress,PrincipalName,Email,Phone,Latitude,Longitude,County,CongressionalDistrict,LegislativeDistrict
1241929.199,892010.1502,5110,4069,101649,Wellington Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"16501 NE 195 ST, Woodinville, Washington, 98072-8414","16501 NE 195 ST, Woodinville, Washington, 98072-8414",Brian  Matthias,bmatthias@nsd.org,425.408.5900,47.767987,-122.120255,King,1,45
1216225.366,893406.6103,5127,3287,101633,Westhill Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"19515 88 AV NE, Bothell, Washington, 98011-2137","19515 88 AV NE, Bothell, Washington, 98011-2137",Dana  Whitehurst,dwhitehurst@nsd.org,425.408.5500,47.77032,-122.224858,King,1,1
1260940.911,873936.2686,5151,4336,101560,Wilder Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"22130 NE 133rd, Woodinville, Washington, 98077-7270","22130 NE 133rd, Woodinville, Washington, 98077-7270",Steve  Roetcisoender,sroetcisoender@lwsd.org,425.936.2740,47.7195,-122.041538,King,1,45
1230291.22,892349.4405,5170,3749,101642,Woodin Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"12950 NE 195 ST, Bothell, Washington, 98011-2537","12950 NE 195 ST, Bothell, Washington, 98011-2537",Dawn  Bowers,dbowers@nsd.org,425.408.5400,47.768252,-122.16759,King,1,1
1231702.597,893458.1689,5171,4208,101652,Woodinville HS,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,9,12,9,12," Public School, Regular School",P,Public School,High School,"19819 136 NE, Woodinville, Washington, 98072-8775","19819 136 NE, Woodinville, Washington, 98072-8775",Kurt  Criscione,kcriscione@nsd.org,425.408.7400,47.771372,-122.161948,King,1,45
1227953.846,882534.7882,5177,4377,101657,Woodmoor Elementary,,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,PK,5,-1,5," Public School, Regular School",P,Public School,Elementary School,"12225 NE 160, Bothell, Washington, 98011-4167","12225 NE 160, Bothell, Washington, 98011-4167",Ebony  Harvey,eharvey@nsd.org,425.408.5600,47.74122,-122.176243,King,1,1
1246793.651,867811.1589,5245,4424,101564,Einstein Elementary,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Public School, Regular School",P,Public School,Elementary School,"18025 NE 116th, Redmond, Washington, 98052-2816","18025 NE 116th, Redmond, Washington, 98052-2816",Robin  Imai,rimai@lwsd.org,425.936.2540,47.701942,-122.098488,King,1,45
1222531.642,851291.8917,5329,3855,101546,Emerson High School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"10903 NE 53rd ST, Kirkland, Washington, 98033-7508","10903 NE 53rd ST, Kirkland, Washington, 98033-7508",Nell  Ballard-Jones,nballard-jones@lwsd.org,425.936.2300,47.65528167,-122.1955429,King,1,48
1223747.878,854354.713,5330,3856,101547,Community School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,1,5,1,5," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Elementary School,"11133 NE 65th, Kirkland, Washington, 98033-7116","11133 NE 65th, Kirkland, Washington, 98033-7116",Margaret  Kinney Krepel,mkinneykrepel@lwsd.org,425.936.2395,47.663747,-122.190876,King,1,48
1240396.752,856545.7355,5331,1649,101513,Contractual Schools,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,12,-1,12," Alternative School, Contract School",A,Alternative School w/ > 50% From Within District,PK-12,"16250 NE 74th ST, Redmond, Washington, 98052-7817","P.O. Box 97039, Redmond, Washington, 98073-9739",Shannon  Hitch,shhitch@lwsd.org,425.936.1301,47.67071037,-122.1235165,King,1,48
1214414.261,873596.1834,5332,1658,101514,Discovery School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,5,0,5," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Elementary School,"12801 84th NE, Kirkland, Washington, 98034-2600","12801 84th NE, Kirkland, Washington, 98034-2600",Lori  Pierce,lpierce@lwsd.org,425.936.2704,47.715923,-122.230453,King,1,1
1256029.917,856004.939,5333,1687,101516,Explorer Community School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,1,5,1,5," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Elementary School,"7040 208th NE, Redmond, Washington, 98053-4716","7040 208th NE, Redmond, Washington, 98052-4716",Barbara  Pridgeon,bapridgeon@lwsd.org,425.936.2533,47.670093,-122.060042,King,1,45
1222484.685,851071.2914,5334,1688,101517,Emerson K-12,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,K,12,0,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,K-12,"10903 NE 53rd Street, Kirkland, Washington, 98033-7508","10903 NE 53rd Street, Kirkland, Washington, 98033-7508",Nell  Ballard-Jones,nballard-jones@lwsd.org,425.936.2311,47.65467434,-122.1957141,King,1,48
1222233.707,873275.8428,5335,1804,101520,Futures School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,9,12,9,12," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,High School,"10601 NE 132nd, Kirkland, Washington, 98034-2872","10601 NE 132nd, Kirkland, Washington, 98034-2872",Kelly  Clapp,kclapp@lwsd.org,425.936.1600,47.715511,-122.198672,King,1,45
1222818.953,851278.2195,5336,4167,101557,Northstar Middle School,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,6,8,6,8," Alternative School, Public School",A,Alternative School w/ > 50% From Within District,Middle School,"10903 NE 53rd St, Kirkland, Washington, 98033","10903 NE 53rd St, Kirkland, Washington, 98033",Nell  Ballard-Jones,nballard-jones@lwsd.org,425.936.1760,47.65526113,-122.1943763,King,1,48
1236740.873,862157.302,5337,3549,101534,Ready Start Preschool,,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,PK,PK,-1,-1," Public School, Regular School",P,Public School,PK Only,"15130 NE 95th ST, Redmond, Washington, 98052-2516","15130 NE 95th ST, Redmond, Washington, 98052-2516",  ,,,47.68588194,-122.138823,King,1,48
